velbody	velleft	velright	Posbody	Posleft	Posright
-29.001	-34.670	-29.176	1041.984	1094.955	1122.967
-29.979	-35.535	-30.918	1023.985	1062.017	1101.917
-30.846	-36.344	-32.565	1002.132	1024.872	1080.977
-31.625	-37.100	-34.165	978.174	991.780	1057.135
-32.348	-37.810	-35.756	954.980	965.033	1026.077
-33.054	-38.481	-37.364	934.569	942.556	989.246
-33.757	-39.153	-38.964	917.475	923.083	952.708
-34.447	-39.888	-40.487	902.871	905.214	922.017
-35.100	-40.709	-41.883	889.723	889.231	901.430
-35.656	-41.531	-43.092	877.910	875.699	891.933
-36.048	-42.212	-44.047	867.693	863.250	889.120
-36.279	-42.684	-44.752	858.956	851.435	887.822
-36.389	-42.940	-45.258	851.339	841.249	886.136
-36.395	-42.977	-45.593	844.726	833.197	884.348
-36.292	-42.790	-45.761	839.412	827.993	884.239
-36.083	-42.390	-45.772	835.648	826.766	887.120
-35.780	-41.797	-45.633	833.279	828.827	892.101
-35.392	-41.021	-45.337	832.083	832.070	898.559
-34.913	-40.067	-44.863	831.672	835.220	906.856
-34.318	-38.927	-44.175	831.331	837.743	916.294
-33.602	-37.604	-43.269	830.551	839.745	924.116
-32.774	-36.105	-42.173	829.264	841.833	926.937
-31.848	-34.461	-40.916	827.667	843.841	924.812
-30.842	-32.733	-39.528	826.267	845.375	919.962
-29.772	-30.990	-38.041	825.592	846.957	913.017
-28.651	-29.276	-36.474	825.718	849.698	904.229
-27.491	-27.626	-34.843	826.511	854.342	895.512
-26.301	-26.065	-33.155	827.971	861.050	889.098
-25.081	-24.610	-31.414	830.110	870.005	884.950
-23.834	-23.256	-29.617	832.130	880.086	882.198
-22.561	-21.980	-27.757	833.113	889.447	880.358
-21.270	-20.763	-25.833	833.899	898.937	878.758
-19.972	-19.589	-23.852	835.753	910.849	876.576
-18.677	-18.449	-21.824	838.207	925.257	874.183
-17.394	-17.344	-19.760	840.075	939.908	873.005
-16.125	-16.276	-17.660	840.992	952.642	873.071
-14.873	-15.246	-15.520	841.068	962.379	873.653
-13.645	-14.251	-13.354	840.138	967.821	874.283
-12.456	-13.279	-11.197	837.755	967.350	873.942
-11.314	-12.328	-9.070	833.734	961.761	871.857
-10.232	-11.404	-7.016	828.312	952.570	868.328
-9.234	-10.518	-5.107	822.360	939.047	863.131
-8.336	-9.685	-3.405	816.998	921.882	855.756
-7.545	-8.923	-1.962	812.911	902.897	846.492
-6.859	-8.240	-0.792	810.507	880.829	836.066
-6.272	-7.659	0.075	809.547	854.866	825.656
-5.779	-7.225	0.563	808.929	830.350	816.724
-5.358	-6.941	0.667	807.776	815.170	810.809
-4.974	-6.771	0.450	805.855	811.005	808.457
-4.611	-6.693	-0.042	803.320	812.995	808.966
-4.274	-6.679	-0.728	800.588	815.303	811.831
-3.974	-6.690	-1.488	797.232	813.537	815.864
-3.717	-6.685	-2.234	792.552	806.001	819.558
-3.499	-6.623	-2.912	787.145	793.632	822.817
-3.325	-6.488	-3.528	781.871	778.680	825.481
-3.204	-6.288	-4.145	776.648	764.395	827.960
-3.135	-6.035	-4.803	771.297	754.648	831.932
-3.117	-5.741	-5.521	766.415	751.605	838.715
-3.143	-5.406	-6.278	762.444	754.029	849.416
-3.208	-5.020	-7.018	759.261	758.852	862.978
-3.303	-4.562	-7.684	757.027	763.324	876.083
-3.415	-4.004	-8.222	755.653	766.028	886.603
-3.531	-3.341	-8.613	754.646	766.693	892.647
-3.641	-2.588	-8.871	753.998	765.721	891.261
-3.737	-1.790	-9.019	754.057	764.038	881.700
-3.813	-1.010	-9.090	755.204	762.464	867.474
-3.864	-0.320	-9.106	757.698	762.343	853.905
-3.885	0.201	-9.082	761.458	765.067	844.914
-3.866	0.530	-9.018	766.507	770.643	841.285
-3.798	0.687	-8.901	773.419	778.175	842.805
-3.669	0.721	-8.714	782.717	786.506	849.227
-3.471	0.706	-8.435	794.711	796.329	858.801
-3.191	0.702	-8.052	808.851	810.809	870.409
-2.810	0.762	-7.563	823.580	832.675	883.103
-2.317	0.916	-6.949	838.614	861.713	894.430
-1.706	1.179	-6.173	854.235	895.260	902.658
-0.977	1.542	-5.192	869.459	928.090	908.274
-0.143	1.979	-3.957	883.341	955.608	912.689
0.782	2.459	-2.466	895.706	977.979	917.295
1.776	2.947	-0.761	906.788	997.395	923.530
2.818	3.426	1.094	916.535	1015.905	931.785
3.879	3.897	3.019	923.327	1032.541	941.054
4.932	4.368	4.958	926.370	1045.042	950.165
5.953	4.857	6.879	927.990	1055.139	958.129
6.928	5.369	8.764	930.068	1064.074	964.088
7.843	5.906	10.599	932.759	1068.062	967.502
8.669	6.478	12.369	936.158	1063.603	968.316
9.396	7.060	14.018	940.011	1051.937	967.545
10.028	7.591	15.456	943.695	1036.701	967.620
10.573	8.040	16.611	947.447	1023.505	971.049
11.041	8.397	17.429	951.683	1017.370	977.980
11.440	8.680	17.913	955.391	1015.300	987.328
11.776	8.927	18.118	957.315	1012.249	999.400
12.051	9.173	18.103	956.899	1008.296	1014.682
12.264	9.448	17.933	954.642	1004.159	1031.954
12.415	9.764	17.647	951.424	999.998	1048.259
12.494	10.155	17.247	947.884	995.377	1059.847
12.477	10.637	16.738	944.929	990.665	1064.192
12.365	11.128	16.147	942.933	988.075	1061.259
12.172	11.570	15.497	942.067	988.584	1053.191
11.904	11.938	14.795	942.747	991.436	1042.041
11.565	12.187	14.043	944.804	995.642	1030.176
11.171	12.275	13.269	947.785	1000.958	1021.326
10.758	12.171	12.520	951.653	1007.958	1017.702
10.347	11.889	11.825	956.395	1016.779	1019.363
9.953	11.478	11.199	961.555	1027.123	1023.994
9.586	10.998	10.655	966.831	1039.169	1027.803
9.256	10.514	10.207	971.649	1051.904	1028.798
8.964	10.054	9.868	974.739	1064.333	1028.020
8.709	9.613	9.643	975.809	1077.339	1027.618
8.481	9.182	9.531	975.741	1090.407	1029.309
8.260	8.745	9.523	975.306	1100.870	1033.436
8.038	8.295	9.608	974.804	1104.735	1038.029
7.809	7.855	9.780	975.049	1098.949	1042.282
7.561	7.458	10.034	976.286	1085.478	1046.269
7.292	7.118	10.294	977.566	1070.675	1048.468
7.014	6.823	10.423	978.976	1060.771	1047.587
6.734	6.557	10.357	981.372	1056.930	1044.583
6.459	6.299	10.100	985.340	1056.376	1042.967
6.196	6.030	9.698	990.666	1057.074	1045.650
5.956	5.735	9.225	996.270	1058.240	1052.524
5.744	5.412	8.723	1002.229	1059.209	1061.732
5.573	5.097	8.207	1008.285	1058.315	1072.101
5.470	4.862	7.704	1011.911	1055.790	1084.061
5.435	4.738	7.216	1012.162	1054.249	1098.758
5.439	4.724	6.726	1010.395	1054.231	1115.928
5.450	4.828	6.231	1008.382	1056.437	1133.852
5.437	5.066	5.740	1007.656	1062.053	1150.409
5.382	5.439	5.272	1008.480	1070.155	1161.552
5.287	5.938	4.854	1010.957	1080.779	1162.014
5.156	6.552	4.497	1016.144	1095.559	1150.409
5.008	7.214	4.235	1024.763	1114.174	1133.404
4.880	7.815	4.134	1036.402	1135.132	1120.607
4.804	8.263	4.224	1050.259	1157.654	1116.560
4.799	8.523	4.477	1064.993	1179.848	1120.212
4.857	8.645	4.834	1078.987	1200.613	1127.524
4.962	8.679	5.256	1091.351	1221.417	1135.596
5.147	8.670	5.796	1101.814	1242.385	1145.553
5.483	8.688	6.557	1110.319	1264.283	1160.380
5.960	8.773	7.541	1117.632	1288.234	1179.719
6.495	8.935	8.659	1125.076	1310.271	1199.238
7.040	9.192	9.864	1131.973	1325.137	1216.620
7.579	9.575	11.149	1137.079	1329.940	1232.857
8.099	10.082	12.464	1141.837	1324.882	1248.371
8.591	10.680	13.720	1148.038	1312.297	1261.815
9.050	11.342	14.826	1156.299	1296.094	1271.527
9.474	12.045	15.679	1166.381	1281.124	1279.186
9.872	12.756	16.229	1176.959	1269.382	1289.445
10.268	13.435	16.464	1186.690	1259.927	1303.368
10.671	14.077	16.410	1194.508	1252.644	1318.602
11.086	14.700	16.128	1199.126	1249.463	1334.042
11.511	15.312	15.657	1199.879	1248.701	1350.243
11.932	15.946	15.035	1198.027	1245.249	1367.032
12.327	16.660	14.311	1193.759	1238.635	1380.622
12.657	17.452	13.515	1186.121	1234.104	1387.683
12.869	18.226	12.671	1177.417	1235.826	1386.494
12.941	18.887	11.808	1170.980	1243.082	1374.278
12.874	19.380	10.960	1167.676	1254.555	1354.123
12.661	19.659	10.169	1167.023	1269.825	1332.525
12.325	19.675	9.481	1168.816	1286.427	1310.939
11.913	19.371	8.940	1172.731	1302.765	1289.860
11.465	18.741	8.569	1177.858	1319.374	1271.555
11.017	17.820	8.370	1183.523	1335.919	1258.107
10.592	16.659	8.336	1189.641	1352.973	1249.928
10.206	15.321	8.450	1195.678	1372.582	1244.227
9.866	13.874	8.701	1200.081	1395.562	1237.747
9.572	12.391	9.085	1201.314	1421.350	1230.968
9.316	10.912	9.607	1199.475	1444.542	1226.556
9.074	9.446	10.285	1196.625	1455.712	1224.408
8.822	8.012	11.095	1193.664	1450.515	1222.139
8.534	6.633	11.977	1190.341	1431.151	1219.693
8.198	5.322	12.898	1188.472	1404.292	1220.547
7.817	4.084	13.721	1189.567	1378.244	1227.963
7.388	2.925	14.203	1193.128	1357.735	1241.054
6.932	1.884	14.258	1198.513	1343.703	1256.482
6.492	1.026	13.945	1205.323	1334.198	1271.865
6.098	0.387	13.345	1212.874	1324.057	1286.971
5.771	-0.023	12.559	1220.443	1309.939	1302.078
5.520	-0.210	11.643	1227.968	1295.011	1318.947
5.347	-0.199	10.616	1235.279	1284.012	1339.833
5.249	-0.011	9.492	1241.089	1276.965	1363.050
5.227	0.378	8.277	1244.475	1271.384	1386.347
5.290	1.036	6.961	1246.014	1264.514	1408.616
5.435	1.974	5.551	1244.601	1252.601	1428.437
5.629	3.165	4.076	1237.143	1236.933	1443.575
5.816	4.588	2.577	1224.145	1223.889	1452.964
5.934	6.157	1.073	1210.280	1218.418	1458.497
5.921	7.727	-0.441	1198.934	1223.632	1464.583
5.755	9.231	-1.961	1190.802	1239.210	1475.797
5.434	10.663	-3.414	1186.347	1261.283	1487.652
4.940	12.019	-4.668	1186.448	1285.526	1491.156
4.316	13.284	-5.629	1191.237	1309.657	1482.832
3.665	14.439	-6.230	1199.684	1334.362	1462.537
3.061	15.414	-6.457	1210.431	1359.294	1433.923
2.555	16.094	-6.342	1222.285	1382.384	1401.686
2.177	16.393	-5.917	1234.355	1405.166	1369.671
1.945	16.258	-5.221	1246.457	1430.080	1343.427
1.861	15.689	-4.287	1258.343	1455.713	1326.602
1.913	14.745	-3.148	1267.794	1478.989	1318.195
2.086	13.522	-1.829	1272.221	1498.308	1315.167
2.357	12.153	-0.355	1272.838	1515.730	1315.561
2.710	10.709	1.253	1271.526	1531.484	1319.573
3.110	9.246	2.974	1267.410	1541.991	1327.828
3.496	7.852	4.799	1261.288	1546.725	1337.924
3.823	6.592	6.657	1255.021	1548.181	1347.295
4.060	5.495	8.403	1249.358	1546.482	1356.992
4.206	4.549	9.946	1245.494	1536.450	1368.298
4.275	3.730	11.276	1244.785	1511.410	1381.302
4.270	3.067	12.354	1247.706	1470.660	1395.442
4.186	2.618	13.087	1253.267	1422.625	1408.528
4.054	2.389	13.376	1259.505	1376.999	1418.887
3.935	2.340	13.114	1264.352	1338.218	1427.338
3.858	2.429	12.290	1266.695	1307.047	1434.791
3.815	2.600	11.060	1265.763	1281.873	1440.488
3.781	2.798	9.634	1260.080	1261.127	1442.146
3.729	3.002	8.099	1248.797	1242.965	1437.367
3.635	3.210	6.431	1233.035	1225.065	1426.522
3.491	3.421	4.632	1216.641	1209.872	1411.498
3.249	3.577	2.720	1204.131	1204.189	1392.081
2.814	3.572	0.701	1197.285	1211.026	1368.028
2.190	3.349	-1.333	1195.089	1226.866	1341.574
1.470	2.895	-3.215	1195.548	1246.552	1315.384
0.704	2.217	-4.874	1197.481	1267.268	1292.166
-0.070	1.297	-6.242	1200.785	1287.733	1275.241
-0.789	0.070	-7.182	1204.981	1308.315	1266.142
-1.427	-1.472	-7.653	1208.564	1330.599	1263.267
-1.973	-3.217	-7.691	1211.535	1354.057	1265.150
-2.401	-4.998	-7.320	1215.612	1377.926	1272.230
-2.711	-6.675	-6.599	1220.219	1401.788	1284.424
-2.926	-8.141	-5.615	1223.455	1422.855	1301.478
-3.058	-9.322	-4.429	1225.504	1436.960	1322.885
-3.114	-10.184	-3.076	1227.870	1439.685	1345.687
-3.106	-10.703	-1.626	1231.818	1428.666	1366.065
-3.050	-10.903	-0.220	1237.838	1406.527	1381.232
-2.958	-10.865	1.016	1245.106	1379.601	1390.481
-2.835	-10.648	2.051	1252.090	1353.431	1396.524
-2.662	-10.259	2.808	1257.409	1330.937	1403.290
-2.397	-9.687	3.123	1260.063	1312.094	1411.595
-2.046	-8.963	2.996	1259.585	1295.780	1419.753
-1.655	-8.152	2.575	1255.343	1281.532	1427.535
-1.267	-7.290	1.957	1246.630	1265.857	1433.486
-0.922	-6.383	1.198	1233.566	1244.896	1435.954
-0.660	-5.453	0.325	1218.064	1222.224	1437.547
-0.524	-4.529	-0.664	1203.503	1205.252	1439.684
-0.539	-3.633	-1.763	1192.370	1198.601	1442.241
-0.712	-2.781	-2.963	1185.262	1203.663	1446.616
-1.021	-1.976	-4.196	1181.848	1218.163	1449.784
-1.416	-1.208	-5.340	1182.006	1239.094	1442.747
-1.868	-0.474	-6.342	1185.469	1264.246	1421.057
-2.340	0.179	-7.119	1191.289	1291.948	1389.103
-2.775	0.661	-7.511	1198.751	1322.513	1354.296
-3.128	0.879	-7.466	1207.213	1355.013	1324.114
-3.367	0.738	-7.040	1216.003	1386.002	1303.868
-3.478	0.242	-6.268	1224.529	1412.574	1295.094
-3.475	-0.460	-5.232	1231.528	1435.703	1297.301
-3.389	-1.199	-4.066	1236.809	1458.305	1309.665
-3.242	-1.904	-2.842	1241.711	1479.352	1330.068
-3.030	-2.511	-1.517	1245.936	1494.913	1354.088
-2.734	-2.899	0.009	1248.582	1498.410	1375.825
-2.369	-3.009	1.694	1251.140	1483.440	1390.455
-1.972	-2.839	3.374	1255.342	1452.392	1398.654
-1.566	-2.436	4.874	1260.734	1414.272	1404.274
-1.154	-1.895	6.014	1265.332	1376.775	1409.168
-0.739	-1.266	6.730	1267.543	1344.831	1414.858
-0.316	-0.572	6.973	1266.517	1321.597	1421.608
0.128	0.157	6.611	1261.393	1305.321	1427.600
0.569	0.898	5.720	1251.923	1290.285	1431.513
0.951	1.635	4.558	1238.465	1272.881	1433.312
1.227	2.349	3.272	1222.373	1255.358	1434.185
1.358	3.018	1.902	1206.861	1244.177	1436.445
1.320	3.629	0.481	1195.140	1242.929	1441.852
1.106	4.176	-0.967	1188.514	1250.987	1447.659
0.744	4.672	-2.372	1186.932	1266.580	1448.919
0.313	5.127	-3.615	1189.691	1288.010	1445.091
-0.109	5.526	-4.629	1196.031	1314.343	1436.612
-0.479	5.839	-5.370	1205.443	1344.528	1421.883
-0.769	6.033	-5.770	1217.155	1377.225	1400.519
-0.972	6.099	-5.816	1229.778	1409.465	1374.929
-1.058	5.978	-5.474	1242.035	1436.833	1351.402
-1.000	5.603	-4.749	1253.025	1457.499	1334.777
-0.839	5.042	-3.814	1261.858	1474.571	1326.371
-0.618	4.372	-2.795	1269.758	1495.157	1327.435
-0.322	3.610	-1.661	1278.020	1520.703	1338.767
0.083	2.767	-0.342	1283.422	1543.661	1358.544
0.608	1.856	1.182	1282.867	1554.231	1381.125
1.214	1.004	2.880	1278.501	1544.445	1400.750
1.847	0.436	4.727	1273.936	1514.058	1414.666
2.448	0.209	6.552	1270.015	1466.609	1422.200
2.951	0.230	8.057	1265.681	1407.031	1424.264
3.332	0.408	9.025	1260.290	1348.204	1422.464
3.605	0.657	9.311	1253.271	1303.267	1417.192
3.774	0.907	8.892	1242.410	1273.095	1408.854
3.839	1.107	7.961	1225.998	1250.876	1402.377
3.809	1.232	6.798	1206.608	1234.740	1404.853
3.696	1.288	5.542	1189.138	1227.607	1416.935
3.449	1.307	4.186	1176.158	1229.289	1432.226
2.958	1.338	2.706	1167.928	1236.361	1443.436
2.237	1.433	1.178	1164.370	1247.397	1445.686
1.408	1.638	-0.223	1165.397	1262.501	1436.247
0.534	1.966	-1.425	1170.779	1281.296	1416.134
-0.340	2.324	-2.389	1179.737	1303.357	1389.669
-1.139	2.550	-3.027	1191.208	1328.511	1360.496
-1.805	2.537	-3.315	1204.335	1356.663	1332.979
-2.296	2.226	-3.281	1218.091	1387.094	1312.585
-2.594	1.622	-2.938	1230.998	1417.457	1300.559
-2.697	0.780	-2.289	1241.731	1445.466	1295.064
-2.622	-0.213	-1.353	1250.791	1472.993	1296.533
-2.397	-1.247	-0.167	1258.133	1500.628	1305.208
-2.053	-2.227	1.233	1260.397	1523.459	1318.210
-1.628	-3.072	2.805	1256.276	1533.468	1331.880
-1.168	-3.727	4.484	1249.187	1522.089	1343.596
-0.734	-4.160	6.186	1242.630	1486.907	1352.211
-0.370	-4.376	7.748	1237.594	1433.394	1357.926
-0.104	-4.416	8.945	1233.737	1373.572	1362.255
0.062	-4.323	9.595	1230.466	1319.275	1366.014
0.159	-4.149	9.641	1227.504	1276.188	1368.519
0.218	-3.939	9.223	1223.396	1245.679	1369.469
0.245	-3.705	8.450	1214.348	1223.395	1369.087
0.231	-3.455	7.307	1199.263	1205.213	1369.312
0.152	-3.195	5.860	1182.240	1192.497	1374.539
-0.036	-2.940	4.246	1167.640	1187.258	1385.582
-0.345	-2.695	2.541	1156.771	1190.835	1397.780
-0.788	-2.419	0.802	1149.351	1203.019	1408.601
-1.400	-2.034	-0.882	1145.379	1220.903	1417.912
-2.143	-1.523	-2.402	1145.224	1241.400	1423.435
-2.907	-0.928	-3.637	1148.524	1262.848	1422.862
-3.619	-0.294	-4.529	1154.284	1284.198	1413.804
-4.238	0.326	-5.072	1161.931	1304.804	1394.408
-4.734	0.860	-5.284	1170.978	1326.138	1367.016
-5.087	1.214	-5.198	1180.791	1350.245	1335.591
-5.287	1.314	-4.840	1190.623	1376.214	1305.839
-5.332	1.096	-4.231	1199.529	1402.208	1284.422
-5.232	0.563	-3.387	1206.104	1426.153	1273.034
-5.002	-0.228	-2.317	1208.691	1445.092	1269.624
-4.671	-1.180	-1.056	1208.090	1457.630	1271.569
-4.281	-2.165	0.342	1206.577	1461.713	1275.623
-3.869	-3.090	1.803	1203.364	1451.306	1278.936
-3.474	-3.894	3.236	1197.298	1419.093	1280.677
-3.123	-4.558	4.510	1190.620	1365.564	1283.013
-2.835	-5.094	5.461	1185.511	1304.973	1287.539
-2.618	-5.512	5.927	1182.268	1255.297	1291.722
-2.474	-5.817	5.747	1180.720	1224.071	1292.469
-2.389	-6.018	4.934	1179.252	1207.050	1289.078
-2.337	-6.132	3.657	1174.850	1196.193	1283.482
-2.307	-6.189	2.097	1166.233	1185.493	1280.194
-2.299	-6.236	0.449	1154.996	1173.912	1284.478
-2.312	-6.294	-1.191	1143.930	1165.752	1298.813
-2.382	-6.326	-2.818	1135.227	1164.771	1320.938
-2.575	-6.264	-4.432	1129.679	1171.103	1346.921
-2.888	-6.035	-5.976	1127.365	1183.415	1372.635
-3.259	-5.561	-7.344	1128.359	1200.774	1392.973
-3.637	-4.826	-8.458	1132.588	1222.039	1405.317
-3.980	-3.869	-9.268	1139.728	1246.013	1410.823
-4.253	-2.762	-9.743	1149.529	1273.345	1408.954
-4.425	-1.609	-9.869	1161.750	1304.058	1397.553
-4.470	-0.510	-9.641	1175.773	1335.807	1378.050
-4.372	0.445	-9.061	1190.358	1367.218	1354.097
-4.120	1.175	-8.142	1204.207	1400.658	1331.536
-3.714	1.612	-6.911	1216.406	1434.724	1316.899
-3.161	1.740	-5.400	1225.563	1462.582	1310.334
-2.471	1.590	-3.600	1231.233	1482.971	1307.463
-1.643	1.191	-1.459	1233.252	1499.181	1305.303
-0.727	0.628	0.938	1229.726	1509.093	1302.823
0.182	0.034	3.376	1221.587	1501.690	1301.100
1.011	-0.525	5.702	1213.085	1467.093	1300.398
1.707	-1.048	7.815	1206.660	1406.422	1298.351
2.247	-1.533	9.532	1202.280	1334.020	1295.471
2.634	-1.976	10.600	1199.093	1272.417	1294.340
2.889	-2.378	10.880	1195.348	1234.190	1292.756
3.046	-2.746	10.340	1188.700	1213.491	1286.666
3.124	-3.083	9.015	1178.481	1198.493	1278.905
3.112	-3.407	7.081	1165.931	1184.516	1277.356
2.982	-3.750	4.789	1152.823	1172.814	1286.731
2.721	-4.091	2.349	1140.727	1164.673	1306.819
2.328	-4.361	-0.069	1130.948	1161.083	1331.186
1.819	-4.477	-2.361	1124.511	1163.186	1352.919
1.220	-4.349	-4.488	1121.610	1171.614	1372.814
0.567	-3.954	-6.401	1121.920	1185.864	1391.669
-0.094	-3.330	-8.047	1125.360	1204.284	1409.506
-0.720	-2.516	-9.378	1131.901	1225.480	1427.465
-1.273	-1.551	-10.357	1141.138	1249.219	1443.703
-1.721	-0.468	-10.963	1152.496	1274.473	1456.865
-2.038	0.707	-11.197	1165.056	1299.957	1463.858
-2.217	1.955	-11.079	1177.702	1326.118	1458.660
-2.242	3.231	-10.599	1190.056	1355.387	1438.917
-2.103	4.419	-9.774	1202.326	1390.888	1408.394
-1.859	5.392	-8.739	1214.208	1430.273	1373.303
-1.540	6.049	-7.524	1224.717	1466.599	1340.760
-1.122	6.285	-6.022	1232.666	1495.902	1317.810
-0.609	6.091	-4.219	1236.340	1516.568	1305.775
-0.030	5.543	-2.183	1233.688	1526.743	1299.931
0.596	4.696	0.034	1225.156	1523.429	1294.516
1.223	3.633	2.346	1214.394	1502.251	1286.728
1.771	2.478	4.617	1204.884	1459.193	1277.496
2.188	1.303	6.650	1197.553	1393.062	1268.189
2.468	0.147	8.186	1191.601	1314.586	1261.611
2.642	-0.954	9.129	1186.396	1246.930	1261.555
2.734	-1.985	9.417	1181.016	1204.827	1265.445
2.741	-2.938	8.882	1174.540	1184.627	1266.663
2.665	-3.796	7.621	1166.616	1175.718	1264.381
2.513	-4.528	5.962	1156.995	1170.711	1263.568
2.285	-5.139	4.148	1146.377	1166.764	1269.622
1.974	-5.662	2.350	1136.168	1163.945	1286.371
1.576	-6.077	0.655	1127.471	1163.535	1310.978
1.094	-6.318	-0.915	1120.903	1166.333	1335.791
0.543	-6.324	-2.340	1117.147	1173.494	1357.178
-0.051	-6.043	-3.602	1116.730	1185.988	1374.392
-0.655	-5.484	-4.670	1119.599	1203.259	1388.326
-1.232	-4.709	-5.510	1125.444	1223.760	1402.444
-1.747	-3.779	-6.088	1133.616	1245.690	1418.156
-2.166	-2.745	-6.375	1143.432	1268.363	1432.866
-2.463	-1.637	-6.364	1154.440	1292.673	1441.621
-2.623	-0.461	-6.067	1166.055	1318.950	1439.577
-2.640	0.737	-5.496	1177.574	1346.760	1426.789
-2.513	1.879	-4.667	1188.607	1376.909	1405.902
-2.254	2.869	-3.591	1198.728	1409.122	1380.461
-1.876	3.602	-2.279	1206.711	1438.333	1356.203
-1.402	4.016	-0.748	1210.616	1460.165	1335.203
-0.878	4.138	0.922	1208.755	1473.825	1315.880
-0.361	4.058	2.596	1201.958	1475.142	1297.598
0.127	3.841	4.207	1194.070	1459.711	1280.829
0.556	3.452	5.719	1186.646	1425.010	1265.400
0.870	2.815	7.068	1178.420	1369.482	1251.744
1.050	1.949	8.101	1171.439	1302.052	1243.373
1.112	0.955	8.581	1168.022	1241.441	1244.051
1.078	-0.079	8.379	1166.251	1202.012	1250.936
0.973	-1.080	7.456	1163.724	1183.809	1255.790
0.821	-1.986	5.942	1158.934	1176.855	1256.010
0.646	-2.744	4.113	1151.668	1173.151	1259.472
0.461	-3.339	2.115	1144.083	1171.402	1274.571
0.245	-3.772	0.045	1138.109	1174.209	1300.196
-0.022	-4.029	-1.925	1134.551	1184.245	1330.219
-0.316	-4.095	-3.682	1133.842	1200.749	1357.693
-0.611	-3.981	-5.216	1136.077	1220.013	1378.471
-0.902	-3.629	-6.480	1141.422	1239.927	1393.055
-1.174	-2.912	-7.368	1149.706	1260.665	1401.011
-1.400	-1.878	-7.859	1160.215	1283.286	1400.409
-1.537	-0.729	-8.008	1171.976	1307.891	1389.910
-1.558	0.386	-7.848	1183.570	1332.260	1370.897
-1.451	1.367	-7.392	1194.245	1354.961	1347.861
-1.216	2.171	-6.665	1204.617	1378.118	1327.163
-0.854	2.738	-5.667	1214.562	1404.019	1313.678
-0.349	2.938	-4.363	1222.999	1432.014	1308.005
0.295	2.733	-2.761	1229.996	1459.080	1309.167
1.050	2.233	-0.885	1236.965	1480.319	1315.525
1.879	1.602	1.256	1241.685	1489.743	1324.178
2.737	0.971	3.564	1239.880	1481.524	1331.012
3.578	0.440	5.861	1233.989	1453.439	1332.930
4.349	0.041	7.964	1228.737	1409.841	1331.616
4.997	-0.257	9.685	1225.078	1360.991	1331.598
5.501	-0.485	10.874	1222.313	1318.824	1334.314
5.870	-0.679	11.417	1219.908	1290.059	1338.229
6.119	-0.845	11.328	1217.396	1273.010	1342.292
6.270	-0.961	10.736	1212.646	1260.108	1345.947
6.339	-1.021	9.729	1203.530	1244.935	1351.108
6.317	-1.021	8.394	1191.281	1229.421	1362.569
6.181	-0.949	6.850	1179.321	1218.871	1380.925
5.916	-0.779	5.192	1169.898	1215.437	1400.095
5.515	-0.473	3.498	1163.512	1219.575	1415.803
4.982	-0.022	1.809	1160.048	1229.842	1429.593
4.341	0.584	0.189	1159.654	1244.088	1441.200
3.623	1.379	-1.251	1162.631	1261.284	1447.610
2.847	2.367	-2.469	1168.962	1282.505	1446.090
2.064	3.474	-3.419	1178.429	1308.917	1434.467
1.362	4.588	-4.003	1190.157	1337.462	1412.978
0.797	5.582	-4.191	1203.111	1366.417	1383.274
0.391	6.318	-4.017	1216.761	1397.239	1352.974
0.158	6.707	-3.510	1230.147	1428.102	1331.347
0.096	6.705	-2.694	1242.088	1456.565	1319.806
0.194	6.352	-1.599	1251.547	1482.271	1316.875
0.406	5.811	-0.312	1256.650	1503.583	1320.209
0.673	5.231	1.041	1255.995	1517.437	1325.234
0.955	4.681	2.410	1250.895	1520.834	1327.540
1.236	4.194	3.812	1244.611	1508.929	1324.842
1.482	3.770	5.186	1239.363	1478.580	1318.786
1.660	3.370	6.368	1235.304	1434.747	1315.790
1.770	2.966	7.243	1232.383	1385.041	1320.320
1.824	2.562	7.714	1230.777	1337.313	1329.016
1.824	2.184	7.636	1230.070	1301.246	1337.366
1.773	1.842	6.976	1229.352	1280.681	1344.058
1.681	1.566	5.782	1227.318	1271.320	1349.388
1.566	1.417	4.086	1221.779	1267.763	1354.024
1.430	1.393	2.068	1211.664	1265.584	1359.675
1.261	1.443	0.041	1199.167	1261.659	1368.664
1.037	1.543	-1.838	1187.416	1258.029	1380.066
0.721	1.703	-3.555	1178.119	1257.719	1392.775
0.301	1.921	-5.106	1171.791	1260.775	1405.800
-0.215	2.224	-6.492	1168.522	1267.202	1416.075
-0.829	2.666	-7.707	1168.408	1276.880	1422.670
-1.498	3.233	-8.730	1171.386	1292.106	1425.037
-2.143	3.850	-9.525	1177.059	1314.487	1418.355
-2.727	4.478	-10.087	1184.694	1341.265	1400.161
-3.225	5.055	-10.366	1193.282	1371.559	1375.330
-3.586	5.468	-10.250	1201.893	1404.305	1349.275
-3.791	5.632	-9.712	1208.817	1434.301	1326.675
-3.853	5.491	-8.804	1211.151	1456.131	1309.874
-3.798	5.051	-7.588	1208.269	1464.812	1296.581
-3.660	4.382	-6.136	1202.664	1453.295	1284.142
-3.462	3.527	-4.498	1195.898	1415.519	1270.534
-3.245	2.512	-2.839	1188.046	1352.739	1257.593
-3.086	1.358	-1.439	1179.947	1280.367	1250.419
-3.016	0.116	-0.554	1173.670	1221.019	1250.807
